Crop,Land_Area_ha,Soil_Fertility,Growth_Stage,Region,Urea_kg
Cotton,1.83,Medium,Initial,North,65.48
Wheat,0.96,Medium,Initial,East,43.07
Wheat,1.03,Low,Late,South,27.19
Mustard,0.28,Low,Initial,South,7.34
Sugarcane,2.33,High,Initial,West,136.52
Maize,0.79,Medium,Initial,South,26.3
Cotton,0.76,Low,Initial,North,29.5
Rice,0.68,Medium,Initial,East,41.47
Sugarcane,1.38,High,Mid,Central,100.94
Rice,0.45,Medium,Mid,South,27.35
Sugarcane,0.5,High,Initial,East,26.99
Maize,0.96,Medium,Initial,West,34.27
Maize,0.64,Medium,Mid,Central,30.15
Mustard,1.26,Low,Mid,West,44.96
Mustard,0.66,Medium,Initial,North,17.31
Maize,3.05,Medium,Late,West,75.68
Pulses,1.62,Low,Mid,East,27.59
Maize,1.61,Medium,Mid,Central,60.88
Wheat,0.65,Medium,Late,West,17.73
Wheat,5.39,Medium,Mid,West,283.78
Pulses,0.74,High,Late,North,5.06
Cotton,0.61,Medium,Late,East,11.7
Rice,1.64,Medium,Initial,West,76.49
Sugarcane,1.15,High,Late,East,42.85
Sugarcane,0.56,High,Initial,South,31.05
Pulses,4.65,High,Initial,North,52.87
Wheat,1.98,Medium,Late,North,45.81
Mustard,1.0,High,Late,North,11.76
Sugarcane,5.37,Medium,Mid,East,409.17
Wheat,1.76,Low,Initial,West,96.6
Cotton,0.99,High,Mid,West,33.53
Rice,4.94,Medium,Mid,East,280.19
Cotton,1.59,Low,Initial,East,60.98
Pulses,1.54,Low,Late,South,15.87
Maize,0.76,High,Initial,Central,27.9
Maize,1.04,Low,Initial,Central,42.77
Maize,0.75,Low,Initial,North,29.53
Cotton,2.74,Medium,Mid,West,122.99
Sugarcane,0.32,Low,Mid,North,25.29
Rice,2.6,High,Initial,West,109.0
Maize,0.54,Medium,Mid,West,24.5
Pulses,0.96,Medium,Initial,South,14.91
Pulses,0.81,High,Mid,East,11.35
Maize,0.69,Medium,Mid,East,32.29
Maize,1.62,Medium,Initial,East,67.57
Rice,1.0,High,Mid,Central,58.18
Maize,0.63,Medium,Mid,East,35.94
Rice,1.11,Medium,Mid,Central,74.22
Pulses,0.61,Medium,Mid,North,11.44
Maize,0.69,High,Late,Central,14.32
Cotton,0.35,High,Late,West,4.49
Mustard,0.73,High,Initial,South,13.58
Cotton,1.41,High,Mid,South,41.55
Pulses,1.03,High,Initial,West,8.67
Rice,3.56,High,Initial,North,160.89
Cotton,6.23,Low,Initial,South,252.69
Rice,0.72,Medium,Late,West,20.72
Cotton,0.56,Medium,Mid,South,22.99
Cotton,2.21,Medium,Initial,Central,70.76
Rice,1.26,Low,Initial,South,70.21
Sugarcane,2.21,Medium,Late,Central,94.18
Cotton,1.32,Medium,Mid,Central,62.46
Maize,0.87,Medium,Initial,South,31.0
Mustard,0.88,High,Late,South,11.35
Pulses,1.35,High,Mid,Central,23.49
Sugarcane,0.86,High,Initial,South,48.21
Rice,2.35,High,Mid,North,130.62
Sugarcane,0.4,Medium,Late,East,15.28
Wheat,2.34,Medium,Late,East,48.78
Wheat,0.27,Medium,Initial,West,9.25
Cotton,1.11,Medium,Initial,East,38.35
Cotton,0.79,Low,Initial,North,25.57
Maize,0.35,Medium,Mid,East,15.04
Mustard,0.24,Medium,Mid,East,6.02
Pulses,0.46,Medium,Initial,North,6.18
Sugarcane,1.03,High,Mid,Central,74.49
Wheat,0.66,Medium,Mid,East,37.78
Cotton,0.48,Low,Mid,West,23.66
Pulses,2.58,Medium,Late,East,20.2
Sugarcane,0.42,Medium,Mid,East,35.25
Cotton,1.61,Medium,Initial,North,54.96
Cotton,0.54,Low,Mid,North,26.16
Wheat,0.46,Medium,Late,West,9.99
Wheat,0.66,High,Initial,South,23.61
Cotton,1.54,Medium,Late,North,22.27
Rice,0.38,High,Initial,South,15.63
Cotton,1.22,High,Initial,West,29.8
Pulses,0.51,Low,Initial,East,9.65
Cotton,0.58,Medium,Late,East,9.59
Maize,1.32,Medium,Mid,South,64.96
Mustard,4.58,Medium,Initial,West,104.15
Maize,0.53,Medium,Late,West,10.65
Maize,1.66,Medium,Mid,North,85.02
Rice,0.8,Low,Late,South,24.29
Rice,0.72,High,Initial,North,35.41
Cotton,2.12,High,Initial,South,44.58
Maize,0.55,High,Mid,North,24.78
Rice,0.45,Medium,Mid,North,27.85
Wheat,1.38,High,Mid,West,61.14
Cotton,3.05,Medium,Mid,West,123.59
Pulses,1.69,Low,Mid,East,39.25
Mustard,0.37,High,Initial,East,8.14
Sugarcane,0.65,Medium,Mid,West,56.19
Cotton,1.99,Medium,Mid,West,78.35
Sugarcane,3.02,Medium,Initial,North,170.84
Maize,1.17,Low,Initial,East,52.53
Mustard,0.67,Medium,Mid,West,22.72
Sugarcane,3.17,Medium,Late,South,107.08
Maize,0.95,Medium,Initial,South,31.93
Wheat,0.65,Medium,Initial,East,29.77
Sugarcane,0.58,High,Initial,South,31.53
Mustard,0.43,Medium,Late,North,5.6
Cotton,7.27,Medium,Mid,East,293.25
Maize,2.7,High,Late,West,48.15
Cotton,0.63,Medium,Late,South,11.15
Mustard,3.36,Low,Initial,North,100.82
Rice,1.45,Low,Initial,West,76.18
Maize,1.39,Medium,Mid,Central,74.54
Sugarcane,0.6,Medium,Initial,North,36.08
Maize,0.7,Medium,Initial,South,30.71
Cotton,0.97,Low,Initial,North,41.1
Wheat,0.25,Medium,Mid,Central,12.6
Maize,0.71,Medium,Mid,Central,31.2
Sugarcane,1.0,High,Initial,North,58.97
Rice,2.5,Medium,Mid,West,156.77
Pulses,0.65,High,Initial,West,7.91
Wheat,1.77,High,Mid,Central,76.49
Rice,0.24,Low,Mid,East,17.24
Maize,2.26,Medium,Initial,East,85.82
Cotton,0.53,High,Mid,West,18.32
Mustard,1.1,High,Mid,East,26.19
Cotton,1.33,Medium,Initial,West,40.2
Sugarcane,1.16,High,Initial,South,53.16
Cotton,0.93,Low,Late,West,17.67
Wheat,0.42,Medium,Initial,South,17.09
Cotton,0.54,Medium,Mid,Central,23.06
Sugarcane,2.01,Medium,Late,East,78.11
Pulses,0.66,Low,Initial,Central,11.52
Maize,0.93,Medium,Initial,North,30.5
Mustard,0.35,Low,Late,North,6.38
Maize,1.82,Medium,Initial,Central,66.35
Cotton,0.4,High,Mid,West,12.5
Rice,1.9,High,Mid,West,101.28
Maize,0.48,Medium,Mid,East,23.19
Pulses,2.03,Medium,Late,Central,17.03
Cotton,1.01,Medium,Late,North,19.12
Mustard,0.68,Low,Mid,Central,22.86
Sugarcane,3.07,Medium,Late,Central,109.42
Pulses,0.95,Low,Late,East,8.8
Cotton,0.78,High,Late,West,12.62
Pulses,1.89,High,Mid,North,27.57
Maize,0.35,Medium,Initial,East,13.22
Mustard,0.2,Medium,Mid,North,5.66
Sugarcane,2.25,Low,Initial,North,148.14
Cotton,0.56,Medium,Initial,West,14.72
Wheat,1.83,Medium,Initial,West,69.38
Sugarcane,1.03,Medium,Late,East,43.97
Wheat,0.44,Low,Initial,South,22.4
Pulses,1.53,High,Mid,East,26.92
Rice,0.75,Medium,Mid,East,43.64
Sugarcane,0.47,High,Initial,South,19.88
Pulses,0.48,High,Mid,North,7.56
Wheat,0.3,High,Mid,Central,16.34
Maize,1.33,Low,Late,South,31.28
Maize,0.52,Low,Initial,Central,23.47
Rice,0.98,Medium,Initial,North,40.32
Sugarcane,0.88,Low,Mid,South,80.61
Sugarcane,0.52,Medium,Initial,West,31.22
Sugarcane,0.34,Medium,Initial,East,17.5
Pulses,5.89,Medium,Initial,South,72.45
Mustard,0.97,Medium,Mid,South,26.51
Mustard,3.58,High,Initial,North,62.84
Rice,2.26,Low,Mid,West,147.33
Sugarcane,0.8,Medium,Late,South,29.61
Pulses,1.14,Medium,Mid,West,18.56
Maize,1.11,High,Initial,Central,40.98
Wheat,3.64,Medium,Mid,South,185.45
Pulses,1.79,Low,Initial,West,28.83
Mustard,0.57,Medium,Initial,East,14.91
Mustard,1.28,Low,Initial,North,41.57
Maize,1.76,Low,Mid,West,90.02
Maize,0.44,Medium,Mid,North,22.7
Wheat,1.41,Medium,Late,South,30.09
Maize,2.56,Medium,Late,South,64.82
Rice,0.55,Medium,Initial,Central,24.33
Wheat,0.6,High,Mid,North,28.81
Maize,2.25,High,Initial,East,86.94
Cotton,0.78,Medium,Mid,East,28.38
Pulses,0.5,Medium,Initial,West,7.24
Maize,1.85,Medium,Late,East,37.48
Rice,1.5,Medium,Late,North,51.69
Sugarcane,1.07,Medium,Initial,South,53.48
Maize,2.2,Medium,Mid,North,92.26
Mustard,2.31,Medium,Mid,North,64.58
Mustard,0.94,Medium,Mid,South,25.96
Mustard,3.98,Low,Mid,North,151.8
Sugarcane,3.03,Medium,Mid,East,295.34
Mustard,0.25,Medium,Late,West,3.78
Cotton,0.49,Medium,Mid,West,19.55
Maize,0.21,Medium,Mid,North,10.22
Mustard,0.8,Medium,Late,South,10.27
Wheat,0.43,Medium,Late,Central,10.79
Sugarcane,0.57,Medium,Initial,North,34.88
Cotton,2.15,Medium,Initial,North,68.87
Wheat,0.29,Low,Mid,Central,17.0
Wheat,1.1,Medium,Late,West,22.43
Wheat,1.09,Medium,Initial,West,44.54
Wheat,0.94,Medium,Mid,Central,51.5
Maize,1.1,Medium,Initial,South,38.88
Mustard,0.21,High,Mid,North,5.18
Pulses,0.57,High,Late,East,4.16
Maize,2.94,Low,Mid,West,170.01
Maize,0.43,High,Mid,West,20.97
Cotton,3.21,Medium,Late,West,63.81
Cotton,0.37,Medium,Initial,South,10.15
Mustard,0.34,Low,Late,Central,5.48
Pulses,0.51,High,Mid,South,6.65
Cotton,2.2,Low,Mid,West,81.27
Mustard,0.68,High,Mid,North,22.28
Mustard,1.27,Low,Mid,West,51.37
Rice,1.05,Medium,Late,North,27.62
Pulses,0.96,Medium,Late,North,8.66
Cotton,2.44,Low,Late,West,55.8
Pulses,1.72,Low,Initial,West,21.65
Maize,0.45,Medium,Initial,North,18.77
Maize,0.82,Low,Mid,South,43.74
Pulses,3.39,Medium,Late,South,27.58
Rice,1.25,Medium,Mid,South,100.46
Rice,0.35,High,Late,East,9.79
Pulses,0.37,Medium,Late,North,2.89
Cotton,1.86,Low,Mid,East,101.18
Sugarcane,1.64,Medium,Late,East,48.5
Rice,0.52,Medium,Late,North,15.43
Wheat,1.69,High,Late,East,36.97
Maize,3.06,High,Mid,North,138.0
Pulses,2.77,Medium,Late,Central,21.28
Wheat,3.07,Low,Initial,Central,155.69
Pulses,1.48,High,Mid,North,24.5
Mustard,0.88,High,Initial,North,14.12
Maize,0.75,High,Initial,North,23.91
Maize,0.99,High,Late,South,16.47
Rice,0.54,Medium,Mid,North,36.38
Rice,0.78,Low,Initial,West,48.36
Wheat,2.44,Medium,Mid,Central,125.01
Mustard,0.32,Medium,Late,Central,4.09
Pulses,0.34,Medium,Late,North,2.75
Mustard,1.79,Medium,Initial,Central,39.15
Maize,0.78,Medium,Late,North,16.83
Wheat,0.26,Medium,Mid,North,13.56
Sugarcane,0.96,Medium,Mid,Central,82.92
Wheat,0.87,Low,Mid,Central,56.08
Cotton,0.74,Medium,Late,West,13.12
Wheat,1.62,High,Late,East,39.13
Mustard,0.39,High,Initial,West,8.16
Cotton,1.01,Medium,Mid,West,37.99
Cotton,0.86,Medium,Mid,Central,34.25
Cotton,1.03,Low,Mid,West,42.84
Sugarcane,0.3,Medium,Mid,Central,21.86
Wheat,0.69,Medium,Mid,South,31.61
Mustard,1.01,Medium,Mid,North,35.56
Wheat,1.46,High,Initial,East,49.36
Sugarcane,3.64,Medium,Mid,South,298.22
Maize,1.76,Low,Mid,North,97.07
Rice,1.38,Low,Mid,North,99.76
Mustard,2.44,Medium,Late,East,38.79
Mustard,0.81,Medium,Initial,West,19.55
Wheat,2.97,High,Mid,North,123.64
Rice,2.19,Medium,Mid,East,132.74
Pulses,0.73,Medium,Initial,Central,11.24
Pulses,3.84,Medium,Initial,North,56.43
Sugarcane,1.37,Medium,Late,North,53.76
Pulses,4.64,Medium,Mid,West,79.11
Mustard,1.24,Medium,Mid,West,32.5
Pulses,0.67,Medium,Mid,Central,12.89
Maize,0.58,Medium,Late,North,13.18
Maize,0.78,High,Mid,West,32.7
Maize,0.67,Medium,Late,East,12.96
Pulses,2.44,Low,Initial,North,36.69
Sugarcane,0.98,Low,Mid,East,84.37
Cotton,0.32,Low,Initial,South,11.93
Cotton,1.16,Medium,Late,Central,22.02
Rice,1.09,Low,Mid,West,76.4
Cotton,0.72,Low,Mid,South,36.06
Cotton,1.21,Medium,Initial,West,42.34
Maize,0.97,Medium,Mid,South,48.7
Maize,1.56,Low,Initial,West,71.42
Pulses,1.5,Medium,Mid,Central,25.72
Rice,1.29,Medium,Late,North,33.53
Wheat,0.4,High,Mid,East,20.76
Mustard,4.41,Medium,Initial,South,96.57
Rice,0.34,Low,Late,East,11.82
Rice,0.91,Medium,Late,East,30.59
Sugarcane,0.46,Medium,Mid,West,38.91
Pulses,1.32,Low,Mid,North,27.1
Sugarcane,1.1,High,Late,West,28.32
Rice,0.89,Medium,Mid,East,58.03
Rice,2.89,High,Mid,Central,172.28
Rice,2.17,Medium,Mid,North,134.43
Cotton,0.8,Medium,Initial,North,27.61
Mustard,1.76,Medium,Late,East,25.99
Mustard,2.99,Medium,Mid,West,94.02
Sugarcane,2.16,Medium,Mid,Central,171.25
Rice,0.91,High,Initial,South,31.7
Mustard,0.33,Medium,Initial,West,7.47
Maize,1.26,High,Mid,North,50.52
Mustard,1.6,High,Mid,West,43.86
Pulses,0.58,High,Mid,South,8.74
Pulses,1.02,Medium,Initial,Central,15.92
Mustard,0.94,Medium,Initial,Central,24.01
Maize,2.64,Low,Mid,South,139.94
Pulses,3.66,Medium,Mid,South,59.31
Cotton,2.28,Medium,Initial,East,68.73
Mustard,0.94,Medium,Initial,North,23.45
Cotton,2.23,Low,Late,East,45.39
Mustard,1.57,High,Initial,West,28.39
Wheat,0.95,High,Late,South,20.88
Wheat,4.33,Medium,Mid,East,241.91
Wheat,0.6,Medium,Mid,North,33.1
Pulses,1.53,Medium,Initial,North,19.61
Cotton,1.8,Medium,Late,South,28.44
Cotton,0.82,Medium,Initial,East,25.85
Cotton,1.48,Medium,Mid,Central,48.23
Maize,1.94,Medium,Initial,South,78.84
Cotton,1.19,Medium,Late,West,19.26
Maize,1.39,Medium,Late,East,30.4
Wheat,1.08,Medium,Mid,East,61.83
Wheat,1.75,High,Initial,South,59.77
Pulses,0.85,Low,Mid,East,15.89
Mustard,0.8,Medium,Late,East,13.21
Wheat,1.01,Medium,Mid,West,45.0
Mustard,2.29,Low,Late,West,27.76
Mustard,0.29,Medium,Mid,Central,10.18
Pulses,0.53,Medium,Initial,West,6.14
Rice,4.92,Medium,Initial,Central,273.92
Rice,1.21,Medium,Mid,West,76.88
Sugarcane,0.75,Medium,Mid,Central,63.27
Pulses,1.74,Medium,Initial,West,22.34
Sugarcane,0.58,Low,Initial,West,37.22
Sugarcane,0.23,High,Mid,South,14.9
Rice,1.28,Low,Initial,West,63.92
Pulses,0.6,High,Initial,Central,8.08
Rice,1.07,High,Late,South,23.18
Sugarcane,1.26,Medium,Initial,Central,84.19
Pulses,1.1,High,Initial,West,14.03
Sugarcane,0.3,High,Mid,West,18.41
Cotton,1.02,High,Late,Central,16.33
Mustard,1.37,Medium,Mid,East,39.94
Pulses,0.38,Low,Initial,South,5.82
Pulses,0.35,High,Late,South,2.2
Mustard,0.47,Low,Mid,West,15.47
Sugarcane,1.69,Low,Mid,South,156.4
Cotton,0.25,Medium,Mid,Central,8.87
Maize,1.79,Medium,Mid,West,93.8
Mustard,1.32,Medium,Mid,South,36.23
Rice,0.84,Medium,Late,North,20.42
Sugarcane,0.35,High,Mid,South,23.33
Mustard,0.57,Low,Late,Central,8.96
Mustard,1.73,High,Mid,South,46.97
Pulses,2.41,High,Initial,East,29.5
Rice,0.49,Low,Mid,East,30.06
Rice,2.22,Medium,Initial,West,116.14
Rice,1.62,High,Initial,East,66.76
Mustard,1.0,Medium,Mid,Central,32.43
Maize,0.6,High,Mid,North,30.63
Wheat,0.67,Medium,Initial,North,31.55
Sugarcane,3.58,Medium,Mid,West,287.4
Wheat,1.13,Low,Initial,West,45.8
Mustard,2.54,Medium,Late,East,31.31
Wheat,1.18,Low,Initial,Central,64.48
Mustard,0.73,Medium,Mid,East,22.46
Wheat,1.51,High,Mid,Central,68.6
Rice,4.53,Medium,Mid,Central,255.17
Cotton,0.64,High,Initial,North,17.82
Rice,1.9,Medium,Mid,Central,134.41
Rice,1.14,Medium,Late,South,36.13
Pulses,0.36,Medium,Mid,Central,6.3
Pulses,0.36,High,Mid,North,5.81
Wheat,0.73,Medium,Mid,East,39.76
Mustard,1.28,Low,Initial,Central,39.49
Rice,1.85,High,Initial,South,75.46
Wheat,0.33,Medium,Late,West,7.11
Pulses,1.58,Low,Late,East,16.78
Cotton,0.92,Medium,Mid,West,36.52
Sugarcane,1.0,High,Mid,South,65.25
Wheat,1.51,Medium,Mid,North,82.98
Cotton,3.39,Medium,Initial,North,99.06
Sugarcane,1.24,High,Mid,East,90.47
Maize,0.39,High,Late,Central,7.16
Wheat,0.88,Medium,Mid,Central,44.04
Wheat,1.82,Low,Initial,West,105.29
Maize,1.86,Medium,Initial,North,64.33
Maize,1.59,Medium,Initial,Central,64.16
Wheat,0.7,High,Mid,Central,32.62
Maize,0.38,Medium,Late,North,7.58
Rice,1.51,Medium,Late,North,40.88
Sugarcane,0.43,Low,Late,South,15.01
Sugarcane,1.62,Medium,Mid,West,154.0
Sugarcane,1.62,Low,Mid,North,147.28
Rice,0.72,Low,Late,South,22.33
Mustard,0.92,Low,Mid,North,40.0
Maize,1.15,Medium,Late,East,23.66
Cotton,0.65,Medium,Mid,East,30.34
Maize,0.38,Medium,Initial,East,15.81
Wheat,0.97,High,Mid,North,35.82
Pulses,1.05,Low,Mid,Central,21.07
Sugarcane,2.59,Medium,Initial,Central,172.18
Maize,0.58,High,Mid,East,24.91
Cotton,2.11,Medium,Late,West,37.03
Wheat,0.45,Medium,Mid,South,22.27
Rice,0.39,Low,Initial,East,20.83
Mustard,0.81,High,Mid,South,20.6
Rice,0.52,Medium,Mid,South,38.22
Cotton,0.39,High,Mid,East,12.33
Wheat,3.9,Medium,Mid,Central,202.46
Sugarcane,0.73,Medium,Mid,West,57.44
Maize,5.04,High,Mid,East,184.74
Wheat,0.5,High,Initial,South,18.19
Mustard,0.3,Low,Mid,North,9.54
Rice,2.47,High,Mid,North,117.85
Mustard,0.6,Medium,Initial,South,12.8
Mustard,1.1,Medium,Initial,East,23.02
Cotton,0.39,Medium,Mid,Central,17.84
Cotton,0.97,Medium,Late,East,18.81
Maize,0.38,Medium,Mid,West,20.08
Cotton,0.95,Medium,Mid,North,41.65
Cotton,0.72,Low,Mid,South,32.21
Wheat,1.17,Low,Initial,Central,57.15
Sugarcane,1.55,High,Initial,East,93.22
Maize,1.18,High,Late,West,24.99
Wheat,1.37,High,Mid,East,56.12
Sugarcane,0.93,Medium,Mid,West,91.14
Mustard,0.74,Medium,Initial,East,16.0
Wheat,1.39,Medium,Late,Central,32.13
Pulses,0.92,High,Late,Central,6.4
Wheat,0.95,Medium,Initial,South,39.75
Cotton,1.32,High,Mid,Central,54.95
Sugarcane,0.49,High,Initial,West,27.75
Maize,2.72,High,Mid,South,116.8
Maize,0.84,Low,Initial,Central,41.44
Sugarcane,1.09,Low,Initial,North,81.76
Cotton,0.97,Medium,Initial,West,27.62
Rice,1.58,Medium,Late,South,45.44
Wheat,1.27,Low,Late,West,34.18
Cotton,0.97,Medium,Initial,South,27.3
Pulses,2.76,High,Mid,West,46.08
Mustard,0.2,Medium,Initial,North,4.87
Sugarcane,2.39,Medium,Initial,Central,134.84
Wheat,1.9,Medium,Late,East,42.13
Maize,0.28,Medium,Initial,East,11.44
Mustard,1.92,High,Mid,East,57.83
Rice,2.1,Low,Mid,South,156.13
Pulses,1.48,Medium,Initial,Central,21.97
Maize,0.34,Medium,Mid,South,14.97
Sugarcane,1.61,Low,Late,South,66.03
Wheat,2.02,High,Mid,South,88.03
Sugarcane,0.67,Medium,Initial,South,40.56
Mustard,1.36,Medium,Late,Central,19.04
Wheat,0.78,Medium,Late,East,17.86
Cotton,1.86,Medium,Initial,West,61.05
Rice,0.8,Medium,Initial,South,34.67
Cotton,0.67,High,Initial,Central,15.68
Cotton,0.97,Low,Initial,North,32.47
Sugarcane,0.39,High,Mid,West,28.42
Mustard,0.91,Medium,Initial,South,22.53
Rice,1.29,Low,Initial,South,58.47
Wheat,1.84,Low,Initial,West,91.28
Wheat,1.19,Medium,Mid,West,62.05
Pulses,0.37,Medium,Mid,South,6.2
Maize,2.58,Low,Mid,Central,144.57
Pulses,2.73,Low,Initial,North,38.13
Pulses,1.08,High,Mid,Central,17.01
Wheat,0.59,Low,Initial,East,25.41
Sugarcane,0.69,High,Late,East,20.76
Cotton,0.87,Medium,Mid,East,34.58
Mustard,1.22,Medium,Initial,South,31.43
Cotton,0.81,Medium,Initial,North,25.55
Cotton,0.55,Low,Initial,North,21.27
Rice,2.05,High,Initial,South,73.54
Wheat,1.2,Low,Mid,South,72.08
Mustard,0.48,Medium,Late,South,6.92
Sugarcane,1.23,Medium,Initial,North,86.85
Rice,1.12,Low,Mid,South,70.46
Maize,0.6,Medium,Mid,West,26.6
Sugarcane,2.31,High,Mid,West,161.95
Pulses,1.1,Medium,Initial,West,17.33
Sugarcane,0.86,High,Initial,South,46.38
Sugarcane,0.94,High,Late,West,24.89
Cotton,1.36,Medium,Late,South,21.44
Sugarcane,0.95,Medium,Initial,West,58.88
Pulses,0.95,Medium,Initial,South,13.43
Pulses,2.11,Medium,Mid,Central,37.49
Wheat,0.37,Medium,Mid,East,18.21
Sugarcane,0.42,High,Mid,Central,32.15
Cotton,1.72,Medium,Initial,East,53.42
Sugarcane,5.43,Medium,Late,East,209.72
Maize,1.85,Medium,Mid,West,72.96
Maize,3.69,Medium,Initial,East,162.2
Cotton,0.74,High,Mid,East,24.13
Wheat,0.64,Medium,Initial,Central,30.81
Wheat,1.38,Low,Mid,East,92.54
Pulses,1.95,Low,Mid,South,33.9
Pulses,0.4,High,Initial,South,4.77
Rice,0.86,Medium,Mid,West,61.36
Cotton,0.98,High,Initial,Central,24.95
Sugarcane,0.62,Low,Mid,North,67.52
Mustard,0.67,Medium,Mid,Central,22.29
Cotton,1.8,Low,Mid,North,95.3
Rice,1.39,Medium,Initial,East,70.54
Pulses,1.75,Medium,Mid,North,31.09
Cotton,1.27,Low,Mid,East,71.19
Cotton,0.54,Medium,Mid,Central,23.8
Pulses,1.34,Medium,Mid,Central,23.87
Rice,0.51,Medium,Mid,West,32.71
Pulses,0.8,Medium,Late,West,5.89
Wheat,0.48,Medium,Initial,East,20.96
Sugarcane,0.65,Low,Mid,East,69.36
Pulses,1.07,Medium,Mid,South,18.49
Rice,0.73,Medium,Mid,South,40.9
Maize,0.54,Medium,Mid,South,23.61
Wheat,2.22,High,Late,Central,46.03
Maize,0.92,Medium,Mid,North,41.85
Mustard,0.69,Medium,Late,East,8.45
Pulses,0.47,High,Initial,West,4.76
Wheat,0.27,High,Mid,East,14.11
Sugarcane,0.86,Medium,Initial,North,53.16
Pulses,0.38,High,Mid,East,5.98
Sugarcane,1.65,Medium,Mid,West,116.83
Cotton,1.02,Medium,Mid,West,37.77
Maize,2.98,Medium,Mid,North,138.31
Wheat,1.17,Medium,Initial,West,46.31
Sugarcane,0.6,Low,Mid,Central,47.19
Rice,0.27,High,Mid,West,15.45
Sugarcane,1.76,High,Initial,North,94.02
Rice,0.4,Medium,Initial,North,20.14
Pulses,0.75,Medium,Mid,East,15.06
Wheat,3.23,Low,Mid,West,210.73
Sugarcane,1.53,Medium,Initial,West,88.33
Mustard,1.31,Medium,Initial,North,34.13
Sugarcane,1.94,Medium,Initial,East,131.85
Mustard,1.89,High,Late,East,23.63
Wheat,3.02,Low,Mid,Central,209.81
Sugarcane,0.66,Low,Initial,Central,51.84
Rice,0.77,Medium,Late,North,23.07
Sugarcane,0.52,Medium,Initial,East,38.29
Maize,0.98,High,Initial,East,32.72
Pulses,0.91,Medium,Late,Central,7.41
Cotton,0.29,Medium,Late,Central,5.76
Rice,0.63,Medium,Mid,North,39.15
Maize,2.74,Low,Mid,East,166.66
Mustard,1.19,Medium,Initial,North,27.44
Pulses,1.65,Low,Late,Central,11.84
Wheat,0.92,Medium,Mid,West,51.02
Rice,0.27,Medium,Initial,Central,11.16
Cotton,0.91,Low,Mid,East,40.38
Pulses,2.07,Low,Late,North,20.64
Mustard,0.44,Medium,Late,East,6.74
Cotton,1.69,Medium,Mid,Central,77.12
Wheat,0.3,High,Mid,Central,11.24
Wheat,1.01,Low,Initial,South,49.43
Mustard,1.46,Low,Mid,Central,52.18
Rice,0.8,Low,Mid,East,65.27
Mustard,5.64,Medium,Initial,North,158.71
Sugarcane,0.71,Medium,Late,North,22.15
Wheat,0.67,High,Late,South,13.36
Pulses,1.15,Medium,Initial,East,17.85
Sugarcane,0.59,Low,Late,Central,23.82
Maize,0.36,Medium,Mid,West,20.56
Cotton,0.46,High,Mid,North,15.32
Sugarcane,1.7,Medium,Late,East,60.55
Cotton,0.81,Medium,Initial,South,22.26
Mustard,3.29,High,Mid,West,86.81
Sugarcane,0.73,Medium,Initial,East,32.94
Mustard,1.64,Medium,Mid,Central,51.02
Maize,1.43,Medium,Mid,North,79.76
Wheat,0.73,Medium,Initial,Central,26.52
Maize,0.54,Low,Mid,South,25.28
Wheat,0.3,Medium,Initial,North,13.89
Mustard,1.47,Low,Initial,West,45.29
Wheat,2.31,High,Initial,North,71.4
Cotton,0.33,High,Mid,Central,13.4
Pulses,0.77,Medium,Late,East,6.57
Maize,0.63,Low,Late,East,17.88
Sugarcane,1.47,Low,Late,East,57.2
Maize,0.79,High,Late,South,16.73
Cotton,2.52,Medium,Initial,South,75.85
Wheat,0.76,Medium,Mid,East,40.77
Cotton,0.42,Medium,Mid,West,17.33
Rice,0.72,Medium,Initial,Central,34.25
Rice,0.78,Medium,Mid,West,40.31
Sugarcane,1.45,Medium,Mid,East,120.98
Cotton,0.77,Medium,Late,Central,13.55
Mustard,1.36,High,Mid,South,32.96
Sugarcane,0.58,Low,Late,North,26.76
Mustard,0.81,Low,Initial,North,28.41
Sugarcane,0.58,Medium,Initial,Central,33.35
Rice,0.55,Low,Late,West,17.61
Sugarcane,2.44,High,Initial,Central,126.76
Rice,0.61,Medium,Mid,West,45.52
Wheat,0.78,High,Mid,West,36.62
Mustard,2.08,Medium,Late,North,31.78
Cotton,1.69,Low,Initial,South,67.1
Sugarcane,3.15,Medium,Initial,East,205.35
Rice,1.4,High,Mid,South,72.21
Maize,0.66,Low,Mid,East,43.93
Mustard,4.22,Medium,Initial,North,111.45
Sugarcane,1.5,High,Late,East,42.94
Pulses,0.9,Medium,Mid,West,14.53
Wheat,1.04,Medium,Late,Central,24.25
Wheat,1.13,Medium,Initial,East,54.2
Maize,0.85,High,Mid,South,40.08
Rice,0.38,Low,Late,North,14.94
Sugarcane,3.12,High,Mid,North,199.76
Mustard,0.98,Medium,Initial,Central,24.71
Rice,1.14,High,Late,West,25.2
Wheat,4.28,Low,Mid,West,253.3
Rice,0.62,Low,Late,North,21.81
Wheat,1.58,High,Initial,West,54.54
Rice,0.57,High,Mid,Central,35.15
Maize,1.25,Medium,Late,North,26.12
Cotton,1.15,Medium,Mid,West,48.59
Maize,1.74,High,Initial,East,55.48
Maize,2.33,Low,Initial,East,85.88
Cotton,0.67,Medium,Initial,West,18.29
Cotton,2.7,High,Mid,East,95.83
Sugarcane,2.83,Medium,Mid,Central,276.27
Mustard,0.84,Medium,Initial,South,19.23
